Evolución nº total de altas hospitalización;;;;;;;;;;;;;;;;;;;;;
Se incluye todos los pacientes que a fecha de hoy han sido o son positivos.;;;;;;;;;;;;;;;;;;;;;
;Altas Planta;01 Araba;02 Cruces;03 Donosti;04 Basurto;05 Galdakao;06 Zumarraga;07 Bidasoa;08 Mendaro;09 Alto Deba;10 San Eloy;11 Urduliz;12 Eibar;13 Leza;14 Sta Marina;15 Gorliz;BERMEO H.;ZALDIBAR H.;ZAMUDIO H.;ÁLAVA PSIQUIÁTRICO H.;
2020/03/01;4;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
2020/03/02;48;13;6;11;8;4;2;0;0;0;1;0;0;0;3;0;0;0;0;0;
2020/03/03;37;10;10;5;6;0;2;1;1;0;0;0;0;0;1;1;0;0;0;0;
2020/03/04;47;5;8;12;7;6;0;0;0;1;2;0;0;1;0;3;0;0;2;0;
2020/03/05;54;13;11;12;5;4;2;1;1;1;1;0;0;1;2;0;0;0;0;0;
2020/03/06;58;15;9;7;8;6;0;1;1;3;5;0;0;0;2;1;0;0;0;0;
2020/03/07;13;4;2;2;2;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;
2020/03/08;11;4;1;3;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
2020/03/09;55;11;7;7;10;11;2;1;0;2;0;0;0;0;2;2;0;0;0;0;
2020/03/10;42;11;3;4;7;5;1;1;1;0;2;0;0;2;4;1;0;0;0;0;
2020/03/11;54;14;6;13;8;5;0;1;1;2;1;1;0;0;1;0;0;0;1;0;
2020/03/12;47;12;6;10;7;5;1;0;0;0;2;3;0;0;1;0;0;0;0;0;
2020/03/13;85;34;17;9;2;7;1;1;1;1;1;2;0;1;6;2;0;0;0;0;
2020/03/14;39;14;6;6;4;4;0;0;0;1;1;2;0;1;0;0;0;0;0;0;
2020/03/15;25;10;1;3;2;2;1;0;0;3;1;1;0;1;0;0;0;0;0;0;
2020/03/16;81;34;7;11;7;5;1;0;2;0;4;2;0;1;3;1;0;0;2;1;
2020/03/17;78;35;10;5;11;7;0;0;1;1;1;3;1;0;2;0;0;0;1;0;
2020/03/18;90;38;10;11;7;11;0;1;0;1;4;2;0;0;3;2;0;0;0;0;
2020/03/19;33;14;6;1;0;5;0;0;0;1;3;0;1;1;1;0;0;0;0;0;
2020/03/20;103;42;9;9;14;6;1;0;1;2;6;3;3;0;3;4;0;0;0;0;
2020/03/21;70;30;7;3;8;14;0;2;1;1;1;0;1;0;1;1;0;0;0;0;
2020/03/22;50;30;2;0;3;7;0;2;1;0;0;3;0;0;1;1;0;0;0;0;
2020/03/23;143;54;19;8;24;12;5;4;0;3;3;2;1;0;2;5;0;0;1;0;
2020/03/24;143;57;21;15;14;13;1;0;1;2;10;3;3;0;3;0;0;0;0;0;
2020/03/25;193;53;26;14;32;16;5;2;3;10;7;13;3;1;7;1;0;0;0;0;
2020/03/26;189;57;24;7;34;19;5;3;3;2;13;7;1;0;11;1;0;1;0;1;
2020/03/27;260;62;31;20;52;40;5;3;2;1;3;18;3;1;17;2;0;0;0;0;
2020/03/28;112;27;11;14;12;25;1;1;1;4;4;2;1;1;6;2;0;0;0;0;
2020/03/29;108;32;9;10;24;12;0;0;2;3;5;2;2;0;3;4;0;0;0;0;
2020/03/30;307;61;57;37;44;38;7;2;1;9;9;19;2;0;8;13;0;0;0;0;
2020/03/31;259;62;44;34;41;25;2;4;10;3;2;15;0;0;8;9;0;0;0;0;
2020/04/01;245;66;35;31;31;26;3;2;7;5;11;11;2;0;8;6;0;1;0;0;
2020/04/02;218;38;36;16;39;36;3;5;7;2;4;13;1;0;10;6;0;2;0;0;
2020/04/03;264;50;44;30;46;36;3;6;5;2;4;14;1;0;15;7;0;0;1;0;
2020/04/04;126;23;15;23;24;12;1;0;1;3;7;3;1;0;8;2;0;3;0;0;
2020/04/05;81;13;0;6;29;12;1;1;2;0;4;2;0;0;7;4;0;0;0;0;
2020/04/06;281;45;54;36;44;35;4;2;4;6;10;10;3;0;18;5;0;3;1;1;
2020/04/07;199;36;34;28;28;22;1;3;4;6;3;15;5;0;12;1;0;0;1;0;
2020/04/08;234;33;47;26;37;20;4;4;8;3;5;15;2;0;20;10;0;0;0;0;
2020/04/09;145;12;16;26;34;21;4;2;3;2;2;7;3;0;4;8;0;0;1;0;
2020/04/10;136;16;28;16;34;6;1;1;2;2;3;9;2;0;6;8;0;2;0;0;
2020/04/11;108;10;17;15;25;6;0;2;4;2;5;3;4;0;11;2;0;2;0;0;
2020/04/12;58;5;10;4;20;8;0;1;0;1;1;0;0;0;5;2;0;1;0;0;
2020/04/13;136;13;25;12;31;12;2;2;3;0;2;9;6;1;12;4;0;1;1;0;
2020/04/14;174;27;42;17;28;17;3;1;3;7;6;8;0;0;7;5;0;3;0;0;
2020/04/15;159;25;27;26;23;12;3;0;4;4;1;6;1;0;17;6;0;4;0;0;
2020/04/16;137;25;21;22;17;10;2;0;3;2;3;6;6;0;14;3;0;2;1;0;
2020/04/17;153;22;20;25;25;12;0;1;5;0;4;7;6;0;14;7;0;4;1;0;
2020/04/18;46;8;4;5;10;3;0;0;0;0;3;2;4;1;3;2;0;1;0;0;
2020/04/19;32;2;9;2;5;0;0;1;1;0;3;1;1;0;5;1;0;0;0;1;
2020/04/20;129;18;29;8;29;14;3;0;3;0;1;2;0;1;11;6;0;3;0;1;
2020/04/21;114;13;24;10;13;9;0;1;3;2;2;3;3;0;18;7;0;4;1;1;
2020/04/22;90;14;14;11;13;11;2;0;2;0;1;5;4;0;11;2;0;0;0;0;
2020/04/23;88;7;13;14;14;5;1;2;2;0;2;1;3;0;18;4;0;0;1;1;
2020/04/24;121;18;20;15;22;3;3;0;1;1;3;7;8;2;14;4;0;0;0;0;
